zip_code,city,latitude,longitude,total_results
10451,Bronx,40.822142,-73.931128,1
10454,Bronx,40.80733842809466,-73.9300472661853,1
10455,Bronx,40.808151,-73.902589,2
10455,Bronx,40.80549,-73.90049,2
10458,Bronx,40.86095,-73.889379,2
10458,Bronx,40.8732909,-73.884626,2
10459,Bronx,40.822935,-73.890483,3
10459,The Bronx,40.831638,-73.891659,3
10459,The Bronx,40.808441,-73.91811,3
10460,Bronx,40.850018,-73.878128,5
10460,Bronx,40.838672,-73.877566,5
10460,Bronx,40.846205,-73.876513,5
10460,Bronx,40.850625,-73.881132,5
10460,Bronx,40.846612,-73.876323,5
10462,Bronx,40.8441883,-73.8615724,2
10462,Bronx,40.83174,-73.84485,2
10463,Bronx,40.878532,-73.916201,4
10463,Bronx,40.880142,-73.907385,4
10463,Bronx,40.888461,-73.899119,4
10463,Bronx,40.879501,-73.903603,4
10465,Bronx,40.8124589,-73.83447,1
10466,Bronx,40.894881,-73.860525,2
10466,Bronx,40.8827858370269,-73.8419855959349,2
10467,New York,40.879718,-73.880394,5
10467,Bronx,40.879413,-73.875485,5
10467,Bronx,40.892423,-73.882373,5
10467,Bronx,40.882337,-73.880265,5
10467,New York,40.883002,-73.880698,5
10468,Bronx,40.867403,-73.906405,4
10468,Bronx,40.86334,-73.900066,4
10468,West Bronx,40.872524,-73.890564,4
10468,Bronx,40.875421,-73.893941,4
10469,Bronx,40.876952,-73.845534,2
10469,Williamsbridge,40.874265,-73.852887,2
10470,Bronx,40.905461,-73.849791,1
10471,Riverdale,40.908654,-73.905897,4
10471,Riverdale,40.90872,-73.905883,4
10471,Bronx,40.88734,-73.89526,4
10471,The Bronx,40.8924692,-73.9091145,4
10472,Bronx,40.83051,-73.87437,1
10473,Bronx,40.82289,-73.841375,2
10473,Bronx,40.821451,-73.877642,2
10474,Bronx,40.805695,-73.880803,1
10475,Bronx,40.863231,-73.828839,2
10475,Bronx,40.869205,-73.831633,2
11001,Floral Park,40.725681,-73.718546,1
11101,Long Island City,40.743049,-73.959245,23
11101,Long Island City,40.747589,-73.942612,23
11101,New York,40.748757,-73.943417,23
11101,Long Island City,40.7416517,-73.9361599,23
11101,Long Island City,40.7515557,-73.9414058,23
11101,Astoria,40.7560685,-73.9204663,23
11101,Long Island City,40.749941,-73.939887,23
11101,LIC,40.744546,-73.926319,23
11101,LIC,40.744557,-73.926271,23
11101,Long Island City,40.742397,-73.959225,23
11102,Astoria,40.7732937,-73.934466,1
11103,Queens,40.765233,-73.918436,1
11105,Astoria,40.77364,-73.91352,2
11105,Astoria,40.776957,-73.90115,2
11106,Astoria,40.762502,-73.924507,3
11106,Astoria,40.7623317,-73.9269683,3
11106,Astoria,40.761412,-73.923755,3
11109,Long Island City,40.745627,-73.955638,6
11109,Long Island City,40.745011,-73.957424,6
11109,Long Island City,40.747676,-73.956012,6
11109,Long Island City,40.7449626,-73.9568845,6
11109,Queens,40.744127,-73.95684,6
11109,Queens,40.744152,-73.956666,6
11354,Queens,40.769623,-73.843069,11
11354,Flushing,40.773093,-73.839802,11
11354,Flushing,40.75674,-73.836223,11
11354,Flushing,40.7710075,-73.8430625,11
11354,Flushing,40.75619,-73.8363,11
11354,Flushing,40.762331,-73.825583,11
11354,Flushing,40.758956,-73.832331,11
11354,Flushing,40.760965,-73.829807,11
11354,Flushing,40.761959,-73.829813,11
11354,Flushing,40.760856,-73.829765,11
11355,Flushing,40.7538611,-73.823669,4
11355,Queens,40.756604,-73.828138,4
11355,Flushing,40.753624,-73.823573,4
11355,Flushing,40.757772,-73.826935,4
11360,Bayside,40.778036,-73.780899,1
11361,Bayside,40.758245,-73.776954,3
11361,Bayside,40.758245,-73.776954,3
11361,Bayside,40.75717,-73.76397,3
11362,Queens,40.757564,-73.728618,1
11365,Queens,40.74027,-73.790815,1
11367,Queens,40.735874,-73.815819,1
11368,Queens,40.760424,-73.856316,6
11368,Queens,40.761212,-73.857765,6
11368,Queens,40.760345,-73.85546,6
11368,Queens,40.76038,-73.85531,6
11368,Queens,40.760345,-73.85537,6
11368,Queens,40.76033,-73.855286,6
11369,East Elmhurst,40.767948,-73.867784,3
11369,East Elmhurst,40.77049,-73.87014,3
11369,Queens,40.760611,-73.85697,3
11370,Queens,40.7654021,-73.8890281,2
11370,Queens,40.76447,-73.8863,2
11372,Jackson Heights,40.755072,-73.892094,3
11372,Jackson Heights,40.755839,-73.8806563,3
11372,Jackson Heights,40.74894,-73.893721,3
11373,Queens,40.735082,-73.87067,3
11373,Elmhurst,40.73487,-73.87038,3
11373,Queens,40.745853,-73.884134,3
11374,Rego Park,40.714771,-73.859421,4
11374,Rego Park,40.728618,-73.856054,4
11374,Rego Park,40.732255,-73.866674,4
11374,Rego Park,40.733347,-73.858012,4
11375,Forest Hills,40.718526,-73.83648,7
11375,Forest Hills,40.719885,-73.83857,7
11375,Forest Hills,40.7218556,-73.8491057,7
